Date and Time:                Fri Mar 21 14:11:33.414 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
773,19	31
773,7168	118
774,24359	16
774,77045	73
775,2973	125
775,82416	86
776,35107	82
776,87799	122
777,40497	-27
777,93195	62
778,45892	114
778,98596	190
779,513	130
780,0401	-36
780,5672	23
781,0943	-11
781,62146	218
782,14862	78
782,67578	8
783,203	72
783,73029	114
784,25757	-9
784,78485	42
785,31213	29
785,83948	38
786,36688	-96
786,89423	30
787,42169	-136
787,9491	57
788,47656	76
789,00409	143
789,53156	133
790,05908	27
790,58667	35
791,11426	20
791,64185	61
792,16949	-59
792,69714	33
793,22485	-59
793,75256	27
794,28027	67
794,80804	-79
795,33582	-78
795,86365	-10
796,39148	82
796,91931	39
797,4472	-42
797,9751	-30
798,50299	-98
799,03094	-36
799,55896	-128
800,08691	89
800,61499	32
801,14301	-26
801,67108	-4
802,19916	20
802,72729	14
803,25543	23
803,78363	-46
804,31183	-37
804,84003	71
805,36829	-134
805,89655	57
806,4248	-31
806,95313	-140
807,48151	-73
808,00983	-35
808,53827	-36
809,06665	109
809,59509	-61
810,12354	-106
810,65204	0
811,18054	26
811,70911	-241
812,23767	29
812,76624	-189
813,29486	-72
813,82349	-51
814,35211	-77
814,8808	-20
815,40955	-54
815,93823	-60
816,46698	76
816,99579	-37
817,5246	68
818,05341	-57
818,58228	30
819,11115	44
819,64001	-60
820,16895	-9
820,69794	-57
821,22687	20
821,75586	89
822,28491	64
822,81396	-17
823,34302	-79
823,87213	-123
824,40125	-205
824,93036	-53
825,45953	-131
825,98877	-110
826,51794	-118
827,04718	-119
827,57648	-46
828,10577	-105
828,63507	-86
829,16443	15
829,69379	23
830,22314	-49
830,75256	-53
831,28204	3
831,81146	-105
832,34094	-138
832,87048	-97
833,40002	-121
833,92957	-80
834,45917	6
834,98877	-130
835,51837	-83
836,04803	-39
836,5777	-246
837,10742	47
837,63715	-77
838,16693	6
838,69666	24
839,2265	16
839,75629	-98
840,28613	-3
840,81604	-85
841,34595	-94
841,87585	-34
842,40582	99
842,93579	-114
843,46576	-20
843,99579	-66
844,52582	-25
845,05591	-26
845,586	-74
846,11615	-117
846,64624	-135
847,17645	-116
847,7066	-125
848,23682	-119
848,76709	27
849,29736	-48
849,82764	-12
850,35797	-58
850,88831	-3
851,41864	-22
851,94904	133
852,47943	47
853,00989	-125
853,54034	-45
854,0708	-115
854,60132	-62
855,13184	-84
855,66241	-15
856,19299	-22
856,72357	-31
857,25421	-143
857,78491	18
858,31555	-37
858,84625	40
859,37701	126
859,90771	-120
860,43854	-90
860,9693	-142
861,50012	-144
862,03101	-35
862,56189	-36
863,09277	-164
863,62366	-36
864,15466	-150
864,68561	-43
865,21661	-45
865,74762	-53
866,27869	-52
866,80975	-154
867,34082	-26
867,87195	-106
868,40308	5
868,93427	-67
869,46545	-116
869,99664	-91
870,52789	7
871,05914	30
871,59045	-145
872,12177	-135
872,65308	-119
873,18445	-69
873,71582	-21
874,24725	-79
874,77869	-113
875,31012	-60
875,84161	-61
876,37311	-88
876,90466	-59
877,43622	-117
877,96777	-21
878,49939	-173
879,03101	-119
879,56268	-153
880,09436	75
880,62604	21
881,15778	67
881,68951	40
882,22131	28
882,75311	-56
883,28491	-121
883,81677	41
884,34863	-151
884,88055	-20
885,41248	-113
885,9444	-9
886,47638	-86
887,00836	-128
887,54041	95
888,07239	-56
888,60449	29
889,1366	-95
889,6687	-125
890,20081	72
890,73297	-98
891,2652	-4
891,79742	-117
892,32965	-61
892,86188	-21
893,39417	46
893,92651	-92
894,4588	32
894,99121	-68
895,52356	-69
896,05597	-113
896,58838	-87
897,12085	-14
897,65332	-78
898,18585	-127
898,71838	149
899,25092	48
899,78351	-103
900,3161	-199
900,84875	-123
901,38141	-131
901,91406	-161
902,44678	-127
902,97949	7
903,51221	-128
904,04498	-82
904,57782	3
905,1106	-112
905,64349	-43
906,17633	-154
906,70923	-59
907,24213	-6
907,77509	0
908,30804	-186
908,84106	42
909,37408	60
909,9071	-80
910,44019	-77
910,97327	-21
911,50641	-80
912,03949	-3
912,57269	-49
913,1059	-146
913,6391	-177
914,1723	-49
914,70557	36
915,23883	-295
915,77216	-145
916,30548	-90
916,83887	-3
917,37225	-102
917,90564	-93
918,43909	-120
918,97253	-150
919,50598	35
920,03949	-70
920,57306	-84
921,10657	13
921,64014	-127
922,17377	37
