Date and Time:                Fri Mar 21 10:34:36.524 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
822,28491	-199
822,81396	-88
823,34302	-101
823,87213	-84
824,40125	-199
824,93036	-31
825,45953	75
825,98877	-203
826,51794	27
827,04718	17
827,57648	10
828,10577	-120
828,63507	45
829,16443	-86
829,69379	56
830,22314	-170
830,75256	-6
831,28204	-7
831,81146	117
832,34094	8
832,87048	99
833,40002	-68
833,92957	37
834,45917	-67
834,98877	-36
835,51837	2
836,04803	43
836,5777	224
837,10742	54
837,63715	38
838,16693	-18
838,69666	-45
839,2265	125
839,75629	26
840,28613	-393
840,81604	-14
841,34595	33
841,87585	52
842,40582	43
842,93579	42
843,46576	-56
843,99579	-89
844,52582	-188
845,05591	41
845,586	-67
846,11615	-44
846,64624	-124
847,17645	-78
847,7066	2
848,23682	-118
848,76709	-55
849,29736	-16
849,82764	-4
850,35797	8
850,88831	8
851,41864	-121
851,94904	-24
852,47943	-165
853,00989	-44
853,54034	-81
854,0708	-76
854,60132	-69
855,13184	92
855,66241	11
856,19299	106
856,72357	-92
857,25421	-97
857,78491	-125
858,31555	36
858,84625	-8
859,37701	74
859,90771	-9
860,43854	-25
860,9693	-35
861,50012	39
862,03101	65
862,56189	43
863,09277	-9
863,62366	66
864,15466	-33
864,68561	-12
865,21661	-74
865,74762	80
866,27869	-62
866,80975	-122
867,34082	-19
867,87195	-126
868,40308	-47
868,93427	-127
869,46545	66
869,99664	-72
870,52789	-86
871,05914	-26
871,59045	86
872,12177	-104
872,65308	-9
873,18445	18
873,71582	-1
874,24725	51
874,77869	56
875,31012	134
875,84161	92
876,37311	44
876,90466	-65
877,43622	53
877,96777	103
878,49939	19
879,03101	16
879,56268	-121
880,09436	90
880,62604	60
881,15778	-56
881,68951	-73
882,22131	-4
882,75311	-55
883,28491	-29
883,81677	-28
884,34863	7
884,88055	6
885,41248	-105
885,9444	-57
886,47638	-38
887,00836	-119
887,54041	-140
888,07239	-28
888,60449	82
889,1366	-34
889,6687	-77
890,20081	-44
890,73297	22
891,2652	-40
891,79742	-67
892,32965	-105
892,86188	-11
893,39417	-14
893,92651	-60
894,4588	-76
894,99121	-135
895,52356	23
896,05597	41
896,58838	-29
897,12085	-82
897,65332	17
898,18585	-6
898,71838	112
899,25092	-68
899,78351	-67
900,3161	-9
900,84875	59
901,38141	-39
901,91406	13
902,44678	-111
902,97949	-69
903,51221	5
904,04498	-18
904,57782	-44
905,1106	-19
905,64349	-109
906,17633	-42
906,70923	40
907,24213	10
907,77509	62
908,30804	-38
908,84106	-98
909,37408	3
909,9071	18
910,44019	42
910,97327	-109
911,50641	83
912,03949	-225
912,57269	6
913,1059	40
913,6391	-8
914,1723	-87
914,70557	-63
915,23883	-47
915,77216	-150
916,30548	50
916,83887	-109
917,37225	-95
917,90564	-171
918,43909	-67
918,97253	-76
919,50598	-130
920,03949	-93
920,57306	-141
921,10657	-166
921,64014	-90
922,17377	-100
922,7074	-41
923,24103	36
923,77472	-51
924,30841	-4
924,84216	30
925,37585	-120
925,90967	10
926,44342	123
926,97729	38
927,51111	4
928,04498	-144
928,57886	34
929,11279	-40
929,64673	170
930,18073	2
930,71466	-40
931,24872	-2
931,78271	32
932,31683	26
932,85089	-22
933,38501	-36
933,91913	-50
934,45331	41
934,98749	-17
935,52167	99
936,05591	137
936,59021	-26
937,12445	47
937,65875	-85
938,19312	61
938,72748	123
939,26184	31
939,79626	-28
940,33069	-43
940,86511	-62
941,3996	-72
941,93408	31
942,46863	6
943,00317	-30
943,53778	46
944,07239	-122
944,60699	17
945,1416	56
945,67633	-10
946,211	159
946,74573	-124
947,28046	-57
947,81525	34
948,35004	-41
948,88483	159
949,41968	-22
949,95453	9
950,48944	-55
951,02435	-79
951,55933	-66
952,09424	-15
952,62927	109
953,16425	-21
953,69928	-68
954,23438	79
954,76947	14
955,30457	-142
955,83972	-13
956,37488	69
956,91003	-88
957,44525	-14
957,98047	-61
958,51575	-23
959,05103	-90
959,5863	-48
960,12164	8
960,65698	-111
961,19238	8
961,72778	-73
962,26324	-88
962,79865	-17
963,33417	12
963,86963	-47
964,40515	-117
964,94073	-93
965,47632	4
966,0119	-27
966,54749	-101
967,08313	9
967,61884	-62
968,15454	-58
968,69025	-48
969,22601	-109
969,76178	-32
970,29755	-76
970,83337	-93
971,3692	-128
971,90509	-24
972,44098	-134
972,97687	-79
973,51282	-36
974,04877	36
974,58478	26
975,12079	66
975,6568	-72
976,19287	-94
976,72894	37
977,26508	-80
977,80121	-205
978,33734	-185
978,87354	-128
979,40973	-5
979,94598	76
980,48224	-34
981,01849	-49
981,55481	-81
982,09113	-15
982,6275	-87
983,16388	-43
983,70026	-60
984,23669	-37
984,77313	15
985,30963	-18
985,84613	31
986,38263	-158
986,91919	-42
987,45575	0
987,99237	-4
988,52899	21
989,06561	-78
989,60229	61
990,13898	47
990,67572	-122
991,21246	-119
991,74921	-100
992,28601	-68
992,82281	57
993,35968	17
993,89655	-92
994,43341	-38
994,97034	56
995,50726	-36
996,04419	37
996,58118	-128
997,11823	54
997,65527	-181
998,19232	-116
998,72937	-113
999,26648	-27
999,80365	-57
1000,3408	-180
1000,878	-16
1001,4152	146
1001,9524	-48
1002,4896	16
1003,0269	89
1003,5642	-43
1004,1016	-35
1004,6389	-12
1005,1763	-16
1005,7137	8
1006,2511	44
1006,7886	-59
1007,326	75
1007,8635	-20
1008,4011	62
1008,9386	-30
1009,4761	-120
1010,0137	-140
1010,5514	-151
1011,0891	-130
1011,6267	-19
1012,1644	-27
1012,7021	-22
1013,2399	-134
1013,7776	-72
1014,3154	-64
1014,8532	-63
1015,3911	20
1015,9289	54
1016,4668	-102
1017,0047	-15
1017,5427	44
1018,0806	28
1018,6186	8
1019,1566	117
1019,6946	45
1020,2327	-109
1020,7708	16
1021,3089	39
1021,847	-63
1022,3851	-4
1022,9233	87
1023,4615	42
1023,9998	28
1024,538	74
1025,0763	-187
1025,6146	91
1026,153	-12
1026,6913	-25
1027,2296	15
1027,7681	88
1028,3065	-10
1028,8448	-17
1029,3834	43
1029,9219	-13
1030,4604	7
1030,9989	-69
1031,5375	11
1032,076	42
1032,6147	9
1033,1533	-87
1033,692	-53
1034,2307	-38
1034,7694	-116
1035,3082	-47
1035,8469	23
1036,3857	-27
1036,9246	44
1037,4634	73
1038,0022	-94
1038,5411	2
1039,0801	-61
1039,6189	10
1040,158	-196
1040,6969	40
1041,236	-98
1041,7749	90
1042,314	-32
1042,853	36
1043,3922	52
1043,9313	-46
1044,4705	90
1045,0096	-14
1045,5488	-11
1046,088	-29
1046,6273	-19
1047,1666	48
1047,7059	-39
1048,2452	-22
1048,7845	-67
1049,324	62
1049,8633	-202
1050,4027	-9
1050,9421	49
1051,4817	21
1052,0211	-60
1052,5607	17
1053,1002	55
1053,6398	12
1054,1793	52
1054,719	-141
1055,2587	-41
1055,7983	22
1056,338	-38
1056,8777	-71
1057,4175	10
1057,9572	-73
1058,4969	-26
1059,0367	32
1059,5767	-83
1060,1165	61
1060,6564	21
1061,1963	12
1061,7362	2
1062,2761	-51
1062,8162	18
1063,3562	-60
1063,8962	4
1064,4363	-46
1064,9763	-109
1065,5165	-57
1066,0565	37
1066,5967	-48
1067,1368	-63
1067,6771	36
1068,2173	-7
1068,7576	110
1069,2979	-163
1069,8381	162
1070,3784	-99
1070,9188	21
1071,4591	-132
1071,9995	-9
1072,5399	0
1073,0804	-19
1073,6208	105
1074,1614	-74
1074,7019	38
1075,2424	12
1075,783	-32
1076,3236	35
1076,8643	-132
1077,4048	-50
1077,9456	-7
1078,4862	-33
1079,0269	-3
1079,5676	-65
1080,1084	-31
1080,6492	91
1081,1899	-3
1081,7308	72
1082,2717	-32
1082,8126	-102
1083,3535	6
1083,8944	43
1084,4353	-27
1084,9763	-155
1085,5173	89
1086,0583	3
1086,5994	84
1087,1405	-85
1087,6816	-136
1088,2228	-88
