Date and Time:                Thu Mar 13 15:15:21.841 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
800,08691	206
800,61493	226
801,14301	113
801,67108	250
802,19916	152
802,72729	303
803,25543	123
803,78363	214
804,31177	213
804,84003	170
805,36829	237
805,89655	109
806,4248	247
806,95313	248
807,48145	294
808,00983	191
808,53821	220
809,06665	405
809,59509	202
810,12354	141
810,65204	103
811,18054	219
811,70905	124
812,23761	120
812,76624	49
813,2948	265
813,82349	167
814,35211	199
814,8808	163
815,40948	223
815,93823	193
816,46698	159
816,99579	222
817,5246	21
818,05341	225
818,58228	109
819,11115	223
819,64001	60
820,16895	102
820,69788	52
821,22687	4
821,75586	98
822,28491	52
822,81396	-15
823,34302	148
823,87213	34
824,40125	82
824,93036	106
825,45953	297
825,98871	147
826,51794	-51
827,04718	42
827,57648	58
828,10577	22
828,63507	25
829,16443	-9
829,69379	31
830,22314	94
830,75256	101
831,28198	105
831,81146	9
832,34094	122
832,87048	180
833,39996	-47
833,92957	99
834,45911	92
834,98871	140
835,51837	69
836,04803	304
836,5777	134
837,10742	144
837,63715	127
838,16687	96
838,69666	-3
839,22644	24
839,75629	-15
840,28613	2
840,81604	15
841,34595	109
841,87585	14
842,40576	50
842,93579	-36
843,46576	115
843,99579	89
844,52582	77
845,05591	89
845,586	-104
846,11609	95
846,64624	17
847,17639	141
847,7066	68
848,23682	136
848,76709	156
849,2973	40
849,82764	174
850,35791	-57
850,88824	74
851,41864	142
851,94904	-32
852,47943	123
853,00989	-96
853,54034	-24
854,0708	124
854,60132	-48
855,13184	34
855,66241	19
856,19299	7
856,72357	55
857,25421	35
857,78485	122
858,31555	31
858,84625	20
859,37695	13
859,90771	178
860,43848	136
860,9693	-94
861,50012	101
862,03101	131
862,56183	115
863,09277	118
863,62366	33
864,1546	107
864,68561	14
865,21655	-7
865,74762	26
866,27863	133
866,80969	9
867,34082	34
867,87195	171
868,40308	13
868,9342	156
869,46539	10
869,99664	36
870,52789	35
871,05914	237
871,59039	99
872,1217	114
872,65308	21
873,18445	-12
873,71582	67
874,24719	-13
874,77863	204
875,31012	-58
875,84161	10
876,37311	62
876,9046	40
877,43616	30
877,96777	-12
878,49939	75
879,03101	-67
879,56262	99
880,0943	69
880,62604	44
881,15778	-6
881,68951	22
882,22125	66
882,75305	90
883,28491	-25
883,81677	96
884,34863	-34
884,88049	-8
885,41241	-94
885,9444	98
886,47632	-106
887,00836	97
887,54034	20
888,07239	-43
888,60449	-88
889,13654	13
889,6687	48
890,20081	-27
890,73297	67
891,26514	140
891,79736	-29
892,32959	-42
892,86188	38
893,39417	38
893,92645	56
894,4588	76
894,99115	117
895,52356	-29
896,05597	-39
896,58838	-26
897,12085	89
897,65332	137
898,18585	32
898,71838	108
899,25092	-39
899,78351	54
900,3161	161
900,84869	80
901,38135	-8
901,91406	98
902,44672	-8
902,97949	-87
903,51221	-4
904,04498	105
904,57776	144
905,1106	-22
905,64343	125
906,17633	-39
906,70923	134
907,24213	75
907,77509	64
908,30804	-47
908,84106	-9
909,37402	-27
909,9071	-67
910,44019	70
910,97327	58
911,50635	36
912,03949	-23
912,57263	158
913,10583	47
913,63904	54
914,1723	9
914,70557	-16
915,23883	92
915,77216	35
916,30548	-71
916,83881	51
917,37219	-55
917,90564	162
918,43903	40
918,97253	89
919,50598	-27
920,03949	-60
920,573	48
921,10657	31
921,64014	-25
922,17377	29
922,7074	-33
923,24103	152
923,77472	-56
924,30841	43
924,8421	-48
925,37585	-37
925,90961	-49
926,44342	115
